1,3,imdb
Timothy Hutton,Charlie,tt0113117
Jean Reno,Inspector Jean-Paul Cardon,tt0113117
François Cluzet,Bob,tt0113117
Suzan Anbeh,Juliette (as Susan Anbeh),tt0113117
Renée Humphrey,Lilly,tt0113117
Michael Riley,M. Campbell,tt0113117
Laurent Spielvogel,Concierge,tt0113117
Victor Garrivier,Octave,tt0113117
Steven Seagal,Casey Ryback,tt0114781
Eric Bogosian,Travis Dane,tt0114781
Everett McGill,Marcus Penn,tt0114781
Katherine Heigl,Sarah Ryback,tt0114781
Morris Chestnut,Bobby Zachs,tt0114781
Peter Greene,Mercenary #1,tt0114781
Patrick Kilpatrick,Mercenary #2,tt0114781
Scott Sowers,Mercenary #3,tt0114781
Afifi Alaouie,Female Mercenary (as Afifi),tt0114781
Andy Romano,Admiral Bates,tt0114781
Michael Douglas,Andrew Shepherd,tt0112346
Annette Bening,Sydney Ellen Wade,tt0112346
Martin Sheen,A.J. MacInerney,tt0112346
Michael J. Fox,Lewis Rothschild,tt0112346
Anna Deavere Smith,Robin McCall,tt0112346
Samantha Mathis,Janie Basdin,tt0112346
Shawna Waldron,Lucy Shepherd,tt0112346
David Paymer,Leon Kodak,tt0112346
Anne Haney,Mrs. Chapil,tt0112346
Richard Dreyfuss,Senator Rumson,tt0112346
Sandra Bullock,Angela Bennett,tt0113957
Jeremy Northam,Jack Devlin,tt0113957
Dennis Miller,Dr. Alan Champion,tt0113957
Diane Baker,Mrs. Bennett,tt0113957
Wendy Gazelle,Imposter,tt0113957
Ken Howard,Bergstrom,tt0113957
Ray McKinnon,Dale,tt0113957
Daniel Schorr,WNN Anchor,tt0113957
L. Scott Caldwell,Public Defender,tt0113957
Robert Gossett,Ben Phillips,tt0113957
Ben Kingsley,Xavier Fitch,tt0114508
Michael Madsen,Preston Lennox,tt0114508
Alfred Molina,Dr. Stephen Arden,tt0114508
Forest Whitaker,Dan Smithson,tt0114508
Marg Helgenberger,Dr. Laura Baker,tt0114508
Natasha Henstridge,Sil,tt0114508
Michelle Williams,Young Sil,tt0114508
Jordan Lund,Aide,tt0114508
Don Fischer,Aide,tt0114508
Scott McKenna,Train Hobo,tt0114508
Sylvester Stallone,Judge Dredd,tt0113492
Armand Assante,Rico,tt0113492
Rob Schneider,Fergie,tt0113492
Jürgen Prochnow,Judge Griffin (as Jurgen Prochnow),tt0113492
Max von Sydow,Judge Fargo,tt0113492
Diane Lane,Judge Hershey,tt0113492
Joanna Miles,McGruder,tt0113492
Joan Chen,Ilsa,tt0113492
Balthazar Getty,Olmeyer,tt0113492
Maurice Roëves,Miller (as Maurice Roeves),tt0113492
John Travolta,Chili Palmer,tt0113161
Gene Hackman,Harry Zimm,tt0113161
Rene Russo,Karen Flores,tt0113161
Danny DeVito,Martin Weir,tt0113161
Dennis Farina,Ray 'Bones' Barboni,tt0113161
Delroy Lindo,Bo Catlett,tt0113161
James Gandolfini,Bear,tt0113161
Jon Gries,Ronnie Wingate,tt0113161
Renee Props,Nicki,tt0113161
David Paymer,Leo Devoe,tt0113161
Robert De Niro,Sam 'Ace' Rothstein,tt0112641
Sharon Stone,Ginger McKenna,tt0112641
Joe Pesci,Nicky Santoro,tt0112641
James Woods,Lester Diamond,tt0112641
Don Rickles,Billy Sherbert,tt0112641
Alan King,Andy Stone,tt0112641
Kevin Pollak,Phillip Green,tt0112641
L.Q. Jones,Pat Webb,tt0112641
Dick Smothers,Senator,tt0112641
Frank Vincent,Frank Marino,tt0112641
Christopher Lambert,Lord Raiden,tt0113855
Robin Shou,Liu Kang,tt0113855
Linden Ashby,Johnny Cage,tt0113855
Cary-Hiroyuki Tagawa,Shang Tsung,tt0113855
Bridgette Wilson-Sampras,Sonya Blade (as Bridgette Wilson),tt0113855
Talisa Soto,Kitana,tt0113855
Trevor Goddard,Kano,tt0113855
Chris Casamassa,Scorpion,tt0113855
François Petit,Sub-Zero,tt0113855
Keith Cooke,Reptile (as Keith H. Cooke),tt0113855
Sean Connery,King Arthur,tt0113071
Richard Gere,Lancelot,tt0113071
Julia Ormond,Guinevere,tt0113071
Ben Cross,Prince Malagant,tt0113071
Liam Cunningham,Agravaine,tt0113071
Christopher Villiers,Sir Kay,tt0113071
Valentine Pelka,Sir Patrise,tt0113071
Colin McCormack,Sir Mador,tt0113071
Ralph Ineson,Ralf,tt0113071
John Gielgud,Oswald,tt0113071
James Fleet,John Dashwood,tt0114388
Tom Wilkinson,Mr. Dashwood,tt0114388
Harriet Walter,Fanny Dashwood,tt0114388
Kate Winslet,Marianne Dashwood,tt0114388
Emma Thompson,Elinor Dashwood,tt0114388
Gemma Jones,Mrs. Dashwood,tt0114388
Hugh Grant,Edward Ferrars,tt0114388
Emilie François,Margaret Dashwood,tt0114388
Elizabeth Spriggs,Mrs. Jennings,tt0114388
Robert Hardy,Sir John Middleton,tt0114388
Hugh Grant,Samuel Faulkner,tt0113986
Julianne Moore,Rebecca Taylor,tt0113986
Tom Arnold,Marty Dwyer,tt0113986
Joan Cusack,Gail Dwyer,tt0113986
Jeff Goldblum,Sean Fletcher,tt0113986
Robin Williams,Dr. Kosevich,tt0113986
Mia Cottet,Lili,tt0113986
Joey Simmrin,Truman,tt0113986
Ashley Johnson,Shannon Dwyer,tt0113986
Alexa PenaVega,Molly Dwyer (as Alexa Vega),tt0113986
Lisa Boyle,Girl Decoy,tt0112442
Michael Taliferro,Carjacker,tt0112442
Emmanuel Xuereb,Eddie Dominguez,tt0112442
Tchéky Karyo,Fouchet (as Tcheky Karyo),tt0112442
Marc Macaulay,Noah Trafficante,tt0112442
Ralph Gonzalez,Kuni,tt0112442
Vic Manni,Ferguson,tt0112442
Frank John Hughes,Casper,tt0112442
Mike Kirton,Andy,tt0112442
Martin Lawrence,Marcus Burnett,tt0112442
Laura Linney,Dr. Karen Ross,tt0112715
Dylan Walsh,Dr. Peter Elliot,tt0112715
Ernie Hudson,Captain Monroe Kelly,tt0112715
Tim Curry,Herkermer Homolka,tt0112715
Grant Heslov,Richard,tt0112715
Joe Don Baker,R.B. Travis,tt0112715
Lola Noh,Amy (as Lorene Noh),tt0112715
Mary Ellen Trainor,Moira,tt0112715
Misty Rosas,Amy the Gorilla,tt0112715
Stuart Pankin,Boyd,tt0112715
Denzel Washington,Hunter,tt0112740
Gene Hackman,Ramsey,tt0112740
Matt Craven,Zimmer,tt0112740
George Dzundza,Cob,tt0112740
Viggo Mortensen,Weps,tt0112740
James Gandolfini,Lt. Bobby Dougherty,tt0112740
Rocky Carroll,Lt. Westergaurd,tt0112740
Jaime Gomez,Ood Mahoney (as Jaime P. Gomez),tt0112740
Michael Milhoan,Hunsicker,tt0112740
Scott Burkholder,TSO Billy Linkletter,tt0112740
Michelle Pfeiffer,Louanne Johnson,tt0112792
George Dzundza,Hal Griffith,tt0112792
Courtney B. Vance,Mr. George Grandey,tt0112792
Robin Bartlett,Mrs. Carla Nichols,tt0112792
Beatrice Winde,Mary Benton,tt0112792
John Neville,Waiter,tt0112792
Lorraine Toussaint,Irene Roberts,tt0112792
Renoly Santiago,Raul Sanchero,tt0112792
Wade Dominguez,Emilio Ramirez,tt0112792
Bruklin Harris,Callie Roberts,tt0112792
Clint Eastwood,Robert Kincaid,tt0112579
Meryl Streep,Francesca Johnson,tt0112579
Annie Corley,Carolyn Johnson,tt0112579
Victor Slezak,Michael Johnson,tt0112579
Jim Haynie,Richard Johnson,tt0112579
Sarah Zahn,Young Carolyn (as Sarah Kathryn Schmitt),tt0112579
Christopher Kroon,Young Michael,tt0112579
Phyllis Lyons,Betty,tt0112579
Debra Monk,Madge,tt0112579
Richard Lage,Lawyer Peterson,tt0112579
Sandra Bullock,Lucy,tt0114924
Bill Pullman,Jack,tt0114924
Peter Gallagher,Peter,tt0114924
Peter Boyle,Ox,tt0114924
Jack Warden,Saul,tt0114924
Glynis Johns,Elsie,tt0114924
Micole Mercurio,Midge,tt0114924
Jason Bernard,Jerry,tt0114924
Michael Rispoli,Joe Jr.,tt0114924
Ally Walker,Ashley Bacon,tt0114924
Al Pacino,Lt. Vincent Hanna,tt0113277
Robert De Niro,Neil McCauley,tt0113277
Val Kilmer,Chris Shiherlis,tt0113277
Jon Voight,Nate,tt0113277
Tom Sizemore,Michael Cheritto,tt0113277
Diane Venora,Justine,tt0113277
Amy Brenneman,Eady,tt0113277
Ashley Judd,Charlene Shiherlis,tt0113277
Mykelti Williamson,Sergeant Drucker,tt0113277
Wes Studi,Casals,tt0113277
Dustin Hoffman,Sam Daniels,tt0114069
Rene Russo,Robby Keough,tt0114069
Morgan Freeman,General Billy Ford,tt0114069
Kevin Spacey,Casey Schuler,tt0114069
Cuba Gooding Jr.,Major Salt,tt0114069
Donald Sutherland,General Donald McClintock,tt0114069
Patrick Dempsey,Jimbo Scott,tt0114069
Zakes Mokae,Dr. Benjamin Iwabi,tt0114069
Malick Bowens,Dr. Raswani,tt0114069
Susan Lee Hoffman,Dr. Lisa Aronson,tt0114069
Jim Carrey,Ace Ventura,tt0112281
Ian McNeice,Fulton Greenwall,tt0112281
Simon Callow,Vincent Cadby,tt0112281
Maynard Eziashi,Ouda,tt0112281
Bob Gunton,Burton Quinn,tt0112281
Sophie Okonedo,The Wachati Princess,tt0112281
Tommy Davidson,The Tiny Warrior,tt0112281
Adewale Akinnuoye-Agbaje,Hitu (as Adewale),tt0112281
Danny Daniels,Wachootoo Witch Doctor (as Danny D. Daniels),tt0112281
Sam Phillips,Wachootoo Chief (as Sam Motoana Phillips),tt0112281
James Robinson,Young William,tt0112573
Sean Lawlor,Malcolm Wallace,tt0112573
Sandy Nelson,John Wallace,tt0112573
James Cosmo,Campbell,tt0112573
Sean McGinley,MacClannough,tt0112573
Alan Tall,Elder Stewart,tt0112573
Andrew Weir,Young Hamish,tt0112573
Gerda Stevenson,Mother MacClannough,tt0112573
Ralph Riach,Priest No. 1,tt0112573
Mhairi Calvey,Young Murron,tt0112573
Christine Cavanaugh,Babe (voice),tt0112431
Miriam Margolyes,Fly (voice),tt0112431
Danny Mann,Ferdinand (voice),tt0112431
Hugo Weaving,Rex (voice),tt0112431
Miriam Flynn,Maa (voice),tt0112431
Russi Taylor,Duchess the Cat (voice) (as Russie Taylor),tt0112431
Evelyn Krape,Old Ewe (voice),tt0112431
Michael Edward-Stevens,Horse (voice),tt0112431
Charles Bartlett,Cow (voice),tt0112431
Paul Livingston,Rooster (voice),tt0112431
Robin Williams,Alan Parrish,tt0113497
Jonathan Hyde,Van Pelt / Sam Parrish,tt0113497
Kirsten Dunst,Judy Shepherd,tt0113497
Bradley Pierce,Peter Shepherd,tt0113497
Bonnie Hunt,Sarah Whittle,tt0113497
Bebe Neuwirth,Nora Shepherd,tt0113497
David Alan Grier,Bentley,tt0113497
Patricia Clarkson,Carol Parrish,tt0113497
Adam Hann-Byrd,Young Alan,tt0113497
Laura Bell Bundy,Young Sarah,tt0113497
Kevin Costner,Mariner,tt0114898
Chaim Jeraffi,Drifter,tt0114898
Rick Aviles,Gatesman,tt0114898
R.D. Call,Enforcer,tt0114898
Zitto Kazann,Elder / Survivor,tt0114898
Leonardo Cimino,Elder,tt0114898
Zakes Mokae,Priam,tt0114898
Luke Ka'ili Jr.,Boy,tt0114898
Anthony DeMasters,Boy,tt0114898
Willy Petrovic,Boy,tt0114898
Chauncey Leopardi,Nicky,tt0112642
Spencer Vrooman,Andreas,tt0112642
Malachi Pearson,Casper (voice),tt0112642
Cathy Moriarty,Carrigan,tt0112642
Eric Idle,Dibs,tt0112642
Ben Stein,Rugg,tt0112642
Don Novello,Father Guido Sarducci,tt0112642
Fred Rogers,Mr. Rogers (archive footage) (as Mr. Rogers),tt0112642
Terry Murphy,Terry Murphy ('Hard Copy'),tt0112642
Bill Pullman,Dr. Harvey,tt0112642
Brent Butt,"6 episodes, 1996",tt0346278
Dana Gould,"6 episodes, 1996",tt0346278
Kevin Rooney,"6 episodes, 1996",tt0346278
Melissa Samuels,"6 episodes, 1996",tt0346278
Eric Tunney,"6 episodes, 1996",tt0346278
Thomas F. Wilson,"6 episodes, 1996",tt0346278
Dave Allen,"5 episodes, 1996",tt0346278
Michael French,"5 episodes, 1996",tt0346278
Laura Kightlinger,"1 episode, 1996",tt0346278
Andy Kindler,"1 episode, 1996",tt0346278
Val Kilmer,Batman / Bruce Wayne,tt0112462
Tommy Lee Jones,Harvey Two-Face / Harvey Dent,tt0112462
Jim Carrey,Riddler / Edward Nygma,tt0112462
Nicole Kidman,Dr. Chase Meridian,tt0112462
Chris O'Donnell,Robin / Dick Grayson,tt0112462
Michael Gough,Alfred Pennyworth,tt0112462
Pat Hingle,Commissioner Gordon,tt0112462
Drew Barrymore,Sugar,tt0112462
Debi Mazar,Spice,tt0112462
Elizabeth Sanders,Gossip Gerty,tt0112462
Joe Baker,Lon (voice),tt0114148
Christian Bale,Thomas (voice),tt0114148
Irene Bedard,Pocahontas (voice),tt0114148
Billy Connolly,Ben (voice),tt0114148
James Apaumut Fall,Kocoum (voice),tt0114148
Mel Gibson,John Smith (voice),tt0114148
Linda Hunt,Grandmother Willow (voice),tt0114148
John Kassir,Meeko (voice),tt0114148
Judy Kuhn,Pocahontas (singing voice),tt0114148
Danny Mann,Percy (voice),tt0114148
Pierce Brosnan,James Bond,tt0113189
Sean Bean,Alec Trevelyan,tt0113189
Izabella Scorupco,Natalya Simonova,tt0113189
Famke Janssen,Xenia Onatopp,tt0113189
Joe Don Baker,Jack Wade,tt0113189
Judi Dench,M,tt0113189
Robbie Coltrane,Valentin Zukovsky,tt0113189
Tchéky Karyo,Dimitri Mishkin (as Tcheky Karyo),tt0113189
Gottfried John,Colonel Ourumov,tt0113189
Alan Cumming,Boris Grishenko,tt0113189
Tom Hanks,Jim Lovell,tt0112384
Bill Paxton,Fred Haise,tt0112384
Kevin Bacon,Jack Swigert,tt0112384
Gary Sinise,Ken Mattingly,tt0112384
Ed Harris,Gene Kranz,tt0112384
Kathleen Quinlan,Marilyn Lovell,tt0112384
Mary Kate Schellhardt,Barbara Lovell,tt0112384
Emily Ann Lloyd,Susan Lovell,tt0112384
Miko Hughes,Jeffrey Lovell,tt0112384
Max Elliott Slade,Jay Lovell,tt0112384
Bruce Willis,John McClane,tt0112864
Jeremy Irons,Simon Gruber,tt0112864
Samuel L. Jackson,Zeus Carver,tt0112864
Graham Greene,Joe Lambert,tt0112864
Colleen Camp,Connie Kowalski,tt0112864
Larry Bryggman,Insp. Walter Cobb,tt0112864
Anthony Peck,Ricky Walsh,tt0112864
Nick Wyman,Mathias Targo,tt0112864
Sam Phillips,Katya,tt0112864
Kevin Chamberlin,Charles Weiss,tt0112864
Tom Hanks,Woody (voice),tt0114709
Tim Allen,Buzz Lightyear (voice),tt0114709
Don Rickles,Mr. Potato Head (voice),tt0114709
Jim Varney,Slinky Dog (voice),tt0114709
Wallace Shawn,Rex (voice),tt0114709
John Ratzenberger,Hamm (voice),tt0114709
Annie Potts,Bo Peep (voice),tt0114709
John Morris,Andy (voice),tt0114709
Erik von Detten,Sid (voice),tt0114709
Laurie Metcalf,Mrs. Davis (voice),tt0114709
Tom Guiry,Matthew Turner (as Thomas Guiry),tt0110305
Helen Slater,Laura Turner,tt0110305
Jon Tenney,Steve Turner,tt0110305
Brittany Boyd,Jennifer Turner,tt0110305
Frederic Forrest,Sam Garland,tt0110305
Richard Farnsworth,Len Collins,tt0110305
Michelle Williams,April Porter,tt0110305
Joe Inscoe,Pete Jarman,tt0110305
Yvonne Erickson,Mrs. Jarman (as Yvonne Brisendine),tt0110305
Clayton Barclay Jones,Josh Garland,tt0110305
William Gates,Himself,tt0110057
Arthur Agee,Himself,tt0110057
Emma Gates,Herself - William's Mother,tt0110057
Curtis Gates,Himself - William's Brother,tt0110057
Sheila Agee,Herself - Arthur's Mother,tt0110057
Arthur 'Bo' Agee,Himself - Arthur's Father,tt0110057
Earl Smith,Himself - Talent Scout,tt0110057
Gene Pingatore,Himself - High School Basketball Coach,tt0110057
Isiah Thomas,Himself - Professional Basketball Player,tt0110057
Marlyn Hopewell,Herself - High School Guidance Counselor (as Sister Marlyn Hopewell),tt0110057
Pat Morita,Miyagi (as Noriyuki 'Pat' Morita),tt0110657
Hilary Swank,Julie Pierce,tt0110657
Michael Ironside,Dugan,tt0110657
Constance Towers,Louisa,tt0110657
Chris Conrad,Eric,tt0110657
Arsenio 'Sonny' Trinidad,Abbot Monk (as Arsenio Trinidad),tt0110657
Michael Cavalieri,Ned,tt0110657
Walton Goggins,Charlie (as Walt Goggins),tt0110657
Jim Ishida,Tall Monk,tt0110657
Rodney Kageyama,Monk,tt0110657
Winona Ryder,Lelaina Pierce,tt0110950
Ethan Hawke,Troy Dyer,tt0110950
Janeane Garofalo,Vickie Miner,tt0110950
Steve Zahn,Sammy Gray,tt0110950
Ben Stiller,Michael Grates,tt0110950
Swoosie Kurtz,Charlane McGregor,tt0110950
Harry O'Reilly,Wes McGregor,tt0110950
Susan Norfleet,Helen Anne Pierce,tt0110950
Joe Don Baker,Tom Pierce,tt0110950
Renée Zellweger,Tami (as Renee Zellweger),tt0110950
Alec Baldwin,Lamont Cranston / The Shadow,tt0111143
John Lone,Shiwan Khan,tt0111143
Penelope Ann Miller,Margo Lane,tt0111143
Peter Boyle,Moe Shrevnitz,tt0111143
Ian McKellen,Reinhardt Lane,tt0111143
Tim Curry,Farley Claymore,tt0111143
Jonathan Winters,Police Commissioner Wainwright Barth,tt0111143
Sab Shimono,Dr. Roy Tam,tt0111143
Andre Gregory,Burbank,tt0111143
Brady Tsurutani,Tulku,tt0111143
Michael Keaton,Henry Hackett,tt0110771
Robert Duvall,Bernie White,tt0110771
Glenn Close,Alicia Clark,tt0110771
Marisa Tomei,Martha Hackett,tt0110771
Randy Quaid,Michael McDougal,tt0110771
Jason Robards,Graham Keighley,tt0110771
Jason Alexander,Marion Sandusky,tt0110771
Spalding Gray,Paul Bladden,tt0110771
Catherine O'Hara,Susan,tt0110771
Lynne Thigpen,Janet,tt0110771
Travis Tedford,Spanky,tt0110366
Kevin Jamal Woods,Stymie,tt0110366
Jordan Warkol,Froggy,tt0110366
Zachary Mabry,Porky,tt0110366
Ross Bagley,Buckwheat (as Ross Elliot Bagley),tt0110366
Courtland Mead,Uh-Huh,tt0110366
Sam Saletta,Butch,tt0110366
Blake Jeremy Collins,Woim,tt0110366
Blake McIver Ewing,Waldo,tt0110366
Juliette Brewer,Mary Ann,tt0110366
Meryl Streep,Gail Hartman,tt0110997
Joseph Mazzello,Roarke Hartman,tt0110997
Stephanie Sawyer,Willa,tt0110997
David Strathairn,Tom,tt0110997
Elizabeth Hoffman,Gail's Mother,tt0110997
Victor Galloway,Gail's Father (as Victor H. Galloway),tt0110997
Diane Delano,Ranger,tt0110997
Thomas F. Duffy,Ranger,tt0110997
Kevin Bacon,Wade,tt0110997
John C. Reilly,Terry,tt0110997
Jean-Claude Van Damme,Colonel Guile,tt0111301
Raul Julia,Bison,tt0111301
Ming-Na Wen,Chun-Li,tt0111301
Damian Chapa,Ken,tt0111301
Kylie Minogue,Cammy,tt0111301
Simon Callow,A.N. Official,tt0111301
Byron Mann,Ryu,tt0111301
Roshan Seth,Dhalsim,tt0111301
Andrew Bryniarski,Zangief,tt0111301
Grand L. Bush,Balrog,tt0111301
Jean-Claude Van Damme,Walker,tt0111438
Mia Sara,Melissa,tt0111438
Ron Silver,McComb,tt0111438
Bruce McGill,Matuzak,tt0111438
Gloria Reuben,Fielding,tt0111438
Scott Bellis,Ricky,tt0111438
Jason Schombing,Atwood,tt0111438
Scott Lawrence,Spota,tt0111438
Kenneth Welsh,Utley,tt0111438
Brent Woolsey,Shotgun,tt0111438
Jodie Foster,Nell,tt0110638
Liam Neeson,Jerome Lovell,tt0110638
Natasha Richardson,Paula Olsen,tt0110638
Richard Libertini,Alexander Paley,tt0110638
Nick Searcy,Todd Peterson,tt0110638
Robin Mullins,Mary Peterson,tt0110638
Jeremy Davies,Billy Fisher,tt0110638
O'Neal Compton,Don Fontana,tt0110638
Heather M. Bomba,Twin #1,tt0110638
Marianne E. Bomba,Twin #2,tt0110638
Jim Carrey,Ace Ventura,tt0109040
Courteney Cox,Melissa Robinson,tt0109040
Sean Young,Lt. Lois Einhorn,tt0109040
Tone Loc,Emilio (as Tone Lõc),tt0109040
Dan Marino,Dan Marino,tt0109040
Noble Willingham,Riddle,tt0109040
Troy Evans,Roger Podacter,tt0109040
Raynor Scheine,Woodstock,tt0109040
Udo Kier,Ron Camp,tt0109040
Frank Adonis,Vinnie,tt0109040
Arnold Schwarzenegger,Dr. Alex Hesse,tt0110216
Danny DeVito,Dr. Larry Arbogast,tt0110216
Emma Thompson,Dr. Diana Reddin,tt0110216
Frank Langella,Noah Banes,tt0110216
Pamela Reed,Angela,tt0110216
Aida Turturro,Louise,tt0110216
James Eckhouse,Ned Sneller,tt0110216
Megan Cavanagh,Willow,tt0110216
Welker White,Jenny,tt0110216
Kathleen Chalfant,Casitas Madres Receptionist,tt0110216
Susan Sarandon,Reggie Love,tt0109446
Tommy Lee Jones,Roy Foltrigg,tt0109446
Mary-Louise Parker,Dianne Sway,tt0109446
Anthony LaPaglia,Barry Muldano,tt0109446
J.T. Walsh,McThune,tt0109446
Anthony Edwards,Clint Von Hooser,tt0109446
Brad Renfro,Mark Sway,tt0109446
Will Patton,Sgt. Hardy,tt0109446
Bradley Whitford,Thomas Fink,tt0109446
Anthony Heald,Trumann,tt0109446
Patrick Stewart,Picard,tt0111280
Jonathan Frakes,Riker,tt0111280
Brent Spiner,Data,tt0111280
LeVar Burton,Geordi,tt0111280
Michael Dorn,Worf,tt0111280
Gates McFadden,Beverly,tt0111280
Marina Sirtis,Troi,tt0111280
Malcolm McDowell,Soran,tt0111280
James Doohan,Scotty,tt0111280
Walter Koenig,Chekov,tt0111280
Eddie Murphy,Det. Axel Foley,tt0109254
Jon Tenney,Levine,tt0109254
Joey Travolta,Giolito,tt0109254
Eugene Collier,Leppert,tt0109254
Jimmy Ortega,Rondell,tt0109254
Ousaun Elam,Pederson,tt0109254
Ray Lykins,Nixon,tt0109254
Tim Gilbert,McKee,tt0109254
Rick Avery,Cline,tt0109254
Gilbert R. Hill,Insp. Douglas Todd (as Gil Hill),tt0109254
Jack Nicholson,Will Randall,tt0111742
Michelle Pfeiffer,Laura Alden,tt0111742
James Spader,Stewart Swinton,tt0111742
Kate Nelligan,Charlotte Randall,tt0111742
Richard Jenkins,Detective Bridger,tt0111742
Christopher Plummer,Raymond Alden,tt0111742
Eileen Atkins,Mary,tt0111742
David Hyde Pierce,Roy,tt0111742
Om Puri,Dr. Vijay Alezais,tt0111742
Ron Rifkin,Doctor,tt0111742
Brad Pitt,Tristan Ludlow,tt0110322
Anthony Hopkins,Col. William Ludlow,tt0110322
Aidan Quinn,Alfred Ludlow,tt0110322
Julia Ormond,Susannah Fincannon,tt0110322
Henry Thomas,Samuel Ludlow,tt0110322
Karina Lombard,Isabel Two,tt0110322
Tantoo Cardinal,Pet,tt0110322
Gordon Tootoosis,One Stab,tt0110322
Paul Desmond,Decker,tt0110322
Christina Pickles,Isabel Ludlow,tt0110322
Sylvester Stallone,Ray Quick,tt0111255
Sharon Stone,May Munro,tt0111255
James Woods,Ned Trent,tt0111255
Rod Steiger,Joe Leon,tt0111255
Eric Roberts,Tomas Leon,tt0111255
Mario Ernesto Sánchez,Charlie,tt0111255
Sergio Doré Jr.,Strongarm,tt0111255
Chase Randolph,May's Dad,tt0111255
Jeana Bell,May's Mom,tt0111255
Brittany Paige Bouck,Young May,tt0111255
Mel Gibson,Bret Maverick,tt0110478
Jodie Foster,Annabelle Bransford,tt0110478
James Garner,Marshal Zane Cooper,tt0110478
Graham Greene,Joseph,tt0110478
Alfred Molina,Angel,tt0110478
James Coburn,Commodore Duvall,tt0110478
Dub Taylor,Room Clerk,tt0110478
Geoffrey Lewis,"Matthew Wicker / Eugene, Banker",tt0110478
Paul L. Smith,The Archduke,tt0110478
Dan Hedaya,"Twitchy, Riverboat Poker Player",tt0110478
Tim Allen,Scott Calvin,tt0111070
Judge Reinhold,Neal,tt0111070
Wendy Crewson,Laura,tt0111070
Eric Lloyd,Charlie,tt0111070
David Krumholtz,Bernard,tt0111070
Larry Brandenburg,Detective Nunzio,tt0111070
Mary Gross,Ms. Daniels,tt0111070
Paige Tamada,Elf-Judy,tt0111070
Peter Boyle,Mr. Whittle,tt0111070
Judith Scott,Susan,tt0111070
Kurt Russell,Colonel Jonathan 'Jack' O'Neil,tt0111282
James Spader,Dr. Daniel Jackson,tt0111282
Jaye Davidson,Ra,tt0111282
Viveca Lindfors,Catherine Langford,tt0111282
Alexis Cruz,Skaara,tt0111282
Mili Avital,Sha'uri,tt0111282
Leon Rippy,General W.O. West,tt0111282
John Diehl,Lieutenant Kawalsky,tt0111282
Carlos Lauchu,Anubis,tt0111282
Djimon Hounsou,Horus (as Djimon),tt0111282
Tim Roth,Pumpkin,tt0110912
Amanda Plummer,Honey Bunny,tt0110912
Laura Lovelace,Waitress,tt0110912
John Travolta,Vincent Vega,tt0110912
Samuel L. Jackson,Jules Winnfield,tt0110912
Phil LaMarr,Marvin,tt0110912
Frank Whaley,Brett,tt0110912
Burr Steers,Roger,tt0110912
Bruce Willis,Butch Coolidge,tt0110912
Ving Rhames,Marsellus Wallace,tt0110912
Michael Douglas,Tom Sanders,tt0109635
Demi Moore,Meredith Johnson,tt0109635
Donald Sutherland,Bob Garvin,tt0109635
Caroline Goodall,Susan Hendler,tt0109635
Roma Maffia,Catherine Alvarez,tt0109635
Dylan Baker,Philip Blackburn,tt0109635
Rosemary Forsyth,Stephanie Kaplan,tt0109635
Dennis Miller,Mark Lewyn,tt0109635
Suzie Plakson,Mary Anne Hunter,tt0109635
Nicholas Sadler,Don Cherry,tt0109635
Harrison Ford,Jack Ryan,tt0109444
Willem Dafoe,Clark,tt0109444
Anne Archer,Cathy Ryan,tt0109444
Joaquim de Almeida,Felix Cortez,tt0109444
Henry Czerny,Robert Ritter,tt0109444
Harris Yulin,James Cutter,tt0109444
Donald Moffat,President Bennett,tt0109444
Miguel Sandoval,Ernesto Escobedo,tt0109444
Benjamin Bratt,Captain Ramirez,tt0109444
Raymond Cruz,Chavez,tt0109444
Brad Pitt,Louis,tt0110148
Christian Slater,Malloy,tt0110148
Virginia McCollam,Whore on Waterfront,tt0110148
John McConnell,Gambler,tt0110148
Tom Cruise,Lestat,tt0110148
Mike Seelig,Pimp,tt0110148
Bellina Logan,Tavern Girl,tt0110148
Thandie Newton,Yvette,tt0110148
Lyla Hay Owen,Widow St Clair,tt0110148
Lee E. Scharfstein,Widow's Lover (as Lee Emery),tt0110148
Hugh Grant,Charles - Wedding One,tt0109831
James Fleet,Tom - Wedding One,tt0109831
Simon Callow,Gareth - Wedding One,tt0109831
John Hannah,Matthew - Wedding One,tt0109831
Kristin Scott Thomas,Fiona - Wedding One,tt0109831
David Bower,David - Wedding One,tt0109831
Charlotte Coleman,Scarlett - Wedding One,tt0109831
Andie MacDowell,Carrie - Wedding One (as Andie Macdowell),tt0109831
Timothy Walker,Angus the Groom - Wedding One,tt0109831
Sara Crowe,Laura the Bride - Wedding One,tt0109831
Jim Carrey,Lloyd,tt0109686
Jeff Daniels,Harry,tt0109686
Lauren Holly,Mary,tt0109686
Mike Starr,Joe Mentalino,tt0109686
Karen Duffy,J.P. Shay,tt0109686
Charles Rocket,Nicholas Andre,tt0109686
Victoria Rowell,Athletic Beauty,tt0109686
Joe Baker,Barnard,tt0109686
Hank Brandt,Karl Swanson,tt0109686
Teri Garr,Helen Swanson,tt0109686
John Goodman,Fred Flintstone,tt0109813
Elizabeth Perkins,Wilma Flintstone,tt0109813
Rick Moranis,Barney Rubble,tt0109813
Rosie O'Donnell,Betty Rubble,tt0109813
