,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
1847,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow",2 wins & 11 nominations.,"$65,200,000",USA,22 Mar 2013,Judd Apatow,,"Comedy, Romance",English,59,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",https://m.media-amazon.com/images/M/MV5BNzQxMDQ1NjA4N15BMl5BanBnXkFtZTcwNTE5MjQ3OA@@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",21 Dec 2012,True,134 min,This Is 40,movie,http://www.thisis40movie.com/,"Judd Apatow, Judd Apatow (based on characters created by)",2012,tt1758830,6.2,"119,302",
1848,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1849,"Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport",6 nominations.,"$49,100,000","USA, Canada",15 Jan 2013,Ole Bornedal,,"Horror, Mystery, Thriller",English,45,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",https://m.media-amazon.com/images/M/MV5BMTc0NTcxMDU0MV5BMl5BanBnXkFtZTcwNTgwMzExOA@@._V1_SX300.jpg,Lionsgate Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",31 Aug 2012,True,92 min,The Possession,movie,http://thepossessionmovie.com/,"Juliet Snowden, Stiles White, Leslie Gornstein (article)",2012,tt0431021,5.9,"53,947",
1850,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1851,"Yoon-seok Kim, Jung-jae Lee, Hye-su Kim, Ji-hyun Jun",10 wins & 16 nominations.,"$316,000",South Korea,12 Feb 2013,Dong-hoon Choi,,"Action, Comedy, Crime, Thriller","Korean, Cantonese, English, Mandarin, Japanese",75,"After a heist in South Korea, a gang of 5+1 fly to Hong Kong to look into a heist, in a Macau casino, of a $30M diamond, planned by someone unreliable. He brings in HK thieves as well. Can anyone be trusted?",https://m.media-amazon.com/images/M/MV5BMWU1NjQ4NDAtMTZmMi00MWE4LTljOTktODQyZjA0YTE0MjRjXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,Well Go USA,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",25 Jul 2012,True,135 min,The Thieves,movie,http://thethievesmovie.com,"Dong-hoon Choi (screenplay), Ki-cheol Lee (screenplay), Seong-hun Jeong (character created by: The Thieves)",2012,tt2330866,6.8,"8,107",
1852,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1853,"Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan",Nominated for 1 Oscar. Another 11 wins & 49 nominations.,"$35,287,788",USA,08 Jan 2013,Tim Burton,,"Animation, Comedy, Family, Horror, Sci-Fi",English,74,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",https://m.media-amazon.com/images/M/MV5BY2UwYWI3MTktM2MxNC00MjRhLTlkMWEtYTNjMjRkOTIwOTkyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",05 Oct 2012,True,87 min,Frankenweenie,movie,http://disney.go.com/frankenweenie,"Leonard Ripps, Tim Burton (original idea), John August (screenplay)",2012,tt1142977,7.0,"90,174",
1854,"Rorke Denver, Dave, Sonny, Weimy",Nominated for 1 Golden Globe. Another 1 win & 6 nominations.,"$65,800,000",USA,05 Jun 2012,"Mike McCoy, Scott Waugh",,"Action, Adventure, Drama, Thriller, War","English, Russian, Spanish",40,An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.,https://m.media-amazon.com/images/M/MV5BMTY3NDQxMDAzM15BMl5BanBnXkFtZTcwNzEyNjgzNw@@._V1_SX300.jpg,Relativity Media,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",24 Feb 2012,True,110 min,Act of Valor,movie,http://www.actofvalor.com/,Kurt Johnstad,2012,tt1591479,6.5,"63,961",
1855,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1856,"Ethan Hawke, Juliet Rylance, Fred Dalton Thompson, James Ransone",3 wins & 13 nominations.,"$48,100,000","USA, UK",19 Feb 2013,Scott Derrickson,,"Horror, Mystery, Thriller",English,53,Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.,https://m.media-amazon.com/images/M/MV5BMjI5MTg1Njg0Ml5BMl5BanBnXkFtZTcwNzg2Mjc4Nw@@._V1_SX300.jpg,Lionsgate Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",12 Oct 2012,True,110 min,Sinister,movie,http://www.haveyouseenhim.com,"Scott Derrickson, C. Robert Cargill",2012,tt1922777,6.8,"200,458",
1857,"Ruth Bird, Meryl Keeble, Murray Melvin, Vincent J. Newman",N/A,N/A,UK,N/A,Simon Janes,,"Short, Comedy, Crime, Drama",English,N/A,"Terry 'The Taxman' Tempest, the greatest bank robber there ever was, whose true identity was never discovered, finds himself languishing in a dilapidated care home with only elderly ...",N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,True,18 min,The Grey Mile,movie,N/A,"Simon Janes, Jonathan Parramint",2012,tt2180290,6.1,16,
1858,"Zachary Gordon, Steve Zahn, Robert Capron, Devon Bostick",2 wins & 7 nominations.,"$49,002,815","USA, Canada",18 Dec 2012,David Bowers,,"Comedy, Family",English,54,"School's out. Summer vacation is on. However, Greg may not have the best summer vacation ever. What could go wrong?",https://m.media-amazon.com/images/M/MV5BMWJhYmI1YzItNjAzNi00NjQ4LWEzN2YtMjY4Yzg0NmU1YWE1XkEyXkFqcGdeQXVyNzkzNTg4NjY@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",03 Aug 2012,True,94 min,Diary of a Wimpy Kid: Dog Days,movie,http://www.diaryofawimpykidmovie.com/,"Maya Forbes (screenplay by), Wallace Wolodarsky (screenplay by), Jeff Kinney (based upon the book by)",2012,tt2023453,6.3,"19,770",
1859,"Pierluigi Marchionne, Flavio Parenti, Alison Pill, Alessandro Tiberi",1 win & 5 nominations.,"$16,500,000","USA, Italy, Spain",15 Jan 2013,Woody Allen,,"Comedy, Music, Romance","English, Italian",54,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",https://m.media-amazon.com/images/M/MV5BMTcwNTg4MDMxM15BMl5BanBnXkFtZTcwNjAzMzY3Nw@@._V1_SX300.jpg,Sony Pictures Classics,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",06 Jul 2012,True,112 min,To Rome with Love,movie,http://www.toromewithlove.com,Woody Allen,2012,tt1859650,6.3,"79,706",
1860,"Kevin James, Salma Hayek, Henry Winkler, Greg Germann",3 nominations.,"$45,274,251",USA,05 Feb 2013,Frank Coraci,,"Action, Comedy, Sport","English, Dutch",40,A high school biology teacher looks to become a successful mixed-martial arts fighter in an effort to raise money to prevent extra-curricular activities from being axed at his cash-strapped school.,https://m.media-amazon.com/images/M/MV5BMTUxMzEzNDQ0Nl5BMl5BanBnXkFtZTcwMDI2NTY1OA@@._V1_SX300.jpg,Sony/Columbia Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",12 Oct 2012,True,105 min,Here Comes the Boom,movie,http://boom-movie.com/,"Allan Loeb, Kevin James",2012,tt1648179,6.4,"82,065",
1861,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1862,"Matthew Macfadyen, Eric MacLennan, Kelly Macdonald, Theo Morrissey",Won 1 Oscar. Another 31 wins & 51 nominations.,"$12,802,907",UK,19 Feb 2013,Joe Wright,,"Drama, Romance",English,63,"In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",https://m.media-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,Focus Features,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",07 Sep 2012,True,129 min,Anna Karenina,movie,http://focusfeatures.com/anna_karenina,"Tom Stoppard (screenplay), Leo Tolstoy (novel)",2012,tt1781769,6.6,"85,153",
1863,"Ben Stiller, Vince Vaughn, Jonah Hill, Richard Ayoade",2 nominations.,"$34,100,000",USA,13 Nov 2012,Akiva Schaffer,,"Action, Comedy, Horror, Sci-Fi",English,36,Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion.,https://m.media-amazon.com/images/M/MV5BMjU5MzI1NTk1MV5BMl5BanBnXkFtZTcwMzk5NzY5Nw@@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",27 Jul 2012,True,102 min,The Watch,movie,http://www.facebook.com/thewatchmovie,"Jared Stern, Seth Rogen, Evan Goldberg",2012,tt1298649,5.7,"116,074",
1864,"Bruce Willis, Edward Norton, Bill Murray, Frances McDormand",Nominated for 1 Oscar. Another 38 wins & 118 nominations.,"$45,507,865",USA,16 Oct 2012,Wes Anderson,,"Adventure, Comedy, Drama, Romance",English,84,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",https://m.media-amazon.com/images/M/MV5BMTEwMTc3NDkzOTJeQTJeQWpwZ15BbWU3MDI4NTAwNzc@._V1_SX300.jpg,Focus Features,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",29 Jun 2012,True,94 min,Moonrise Kingdom,movie,http://www.moonrisekingdom.com/,"Wes Anderson, Roman Coppola",2012,tt1748122,7.8,"293,869",
1865,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1866,"David LeRoy Anderson, Drew Goddard, Heather Langenkamp, Lisa Lassek",N/A,N/A,USA,N/A,Drew Goddard,,"Documentary, Short",English,N/A,A documentary that explores how the monsters were brought to life in The Cabin in the Woods.,https://m.media-amazon.com/images/M/MV5BMDBlOWUwYmItMTBiNi00MWVlLTlhOTMtYWRlN2UzZjE2OTYxXkEyXkFqcGdeQXVyMjQ1MjYzOTQ@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",18 Sep 2012,True,12 min,The Cabin In The Woods: An Army of Nightmares - Makeup & Animatronic Effects,movie,N/A,N/A,2012,tt7371706,7.7,18,
1867,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1868,"Julianne Hough, Dakota Sage Grant, Matthew Rush Sullivan, Diego Boneta",1 win & 10 nominations.,"$38,509,342",USA,09 Oct 2012,Adam Shankman,,"Comedy, Drama, Musical, Romance",English,47,A small town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.,https://m.media-amazon.com/images/M/MV5BMTg2NDQyODAzNF5BMl5BanBnXkFtZTcwMTg5MDA3Nw@@._V1_SX300.jpg,New Line Cinema,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",15 Jun 2012,True,123 min,Rock of Ages,movie,http://rockofagesmovie.warnerbros.com/,"Justin Theroux (screenplay by), Chris D'Arienzo (screenplay by), Allan Loeb (screenplay by), Chris D'Arienzo (based on the musical ""Rock of Ages"" written by)",2012,tt1336608,5.9,"70,316",
1869,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1870,"Jennifer Garner, Joel Edgerton, CJ Adams, Odeya Rush",1 win & 8 nominations.,"$51,853,450",USA,04 Dec 2012,Peter Hedges,,"Comedy, Drama, Family, Fantasy",English,47,"A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",https://m.media-amazon.com/images/M/MV5BMTQzODg3MzUyOV5BMl5BanBnXkFtZTcwNzI1MzUyNg@@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",15 Aug 2012,True,105 min,The Odd Life of Timothy Green,movie,http://disney.go.com/the-odd-life-of-timothy-green/,"Peter Hedges (screenplay), Ahmet Zappa (story)",2012,tt1462769,6.6,"42,965",
1871,"Sean Hayes, Will Sasso, Chris Diamantopoulos, Jane Lynch",4 nominations.,"$41,800,000",USA,17 Jul 2012,"Bobby Farrelly, Peter Farrelly",,"Comedy, Family",English,56,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality television show.",https://m.media-amazon.com/images/M/MV5BMDRiNTAwNmYtZWY0Ni00MzI4LTg5OTYtZDdjYjNlM2E2ZmRkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",13 Apr 2012,True,92 min,The Three Stooges,movie,http://www.threestooges.com/movie/index.htm,"Mike Cerrone, Bobby Farrelly, Peter Farrelly",2012,tt0383010,5.1,"28,592",
1872,"Jason Segel, Emily Blunt, Chris Pratt, Alison Brie",N/A,"$28,644,770","USA, Japan",04 Sep 2012,Nicholas Stoller,,"Comedy, Romance","English, Spanish",62,"One year after meeting, Tom proposes to his girlfriend, Violet, but unexpected events keep tripping them up as they look to walk down the aisle together.",https://m.media-amazon.com/images/M/MV5BMTk3MDE1NTA3M15BMl5BanBnXkFtZTcwNDcwNTMxNw@@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",27 Apr 2012,True,124 min,The Five-Year Engagement,movie,http://www.thefiveyearengagementmovie.com/,"Jason Segel, Nicholas Stoller",2012,tt1195478,6.2,"88,838",
1873,"Shia LaBeouf, Tom Hardy, Jason Clarke, Guy Pearce",1 win & 8 nominations.,"$36,300,000",USA,27 Nov 2012,John Hillcoat,,"Crime, Drama",English,58,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",https://m.media-amazon.com/images/M/MV5BMjAxNjUyNjUwN15BMl5BanBnXkFtZTcwMDgwOTIyOA@@._V1_SX300.jpg,The Weinstein Company,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",29 Aug 2012,True,116 min,Lawless,movie,http://lawless-film.com/,"Nick Cave (screenplay), Matt Bondurant (novel)",2012,tt1212450,7.3,"215,042",
1874,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1875,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",Won 2 Oscars. Another 77 wins & 57 nominations.,"$400,736,600",USA,18 Mar 2014,"Chris Buck, Jennifer Lee",,"Animation, Adventure, Comedy, Family, Fantasy, Musical","English, Norwegian",74,"When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",27 Nov 2013,True,102 min,Frozen,movie,http://www.disney.com/frozen,"Jennifer Lee (screenplay by), Hans Christian Andersen (story inspired by ""The Snow Queen"" by), Chris Buck (story by), Jennifer Lee (story by), Shane Morris (story by)",2013,tt2294629,7.5,"520,541",
1876,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",Nominated for 1 Oscar. Another 17 wins & 61 nominations.,"$408,992,272",USA,24 Sep 2013,Shane Black,,"Action, Adventure, Sci-Fi",English,62,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",https://m.media-amazon.com/images/M/MV5BMjE5MzcyNjk1M15BMl5BanBnXkFtZTcwMjQ4MjcxOQ@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",03 May 2013,True,130 min,Iron Man 3,movie,http://IronManMovie3.com,"Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)",2013,tt1300854,7.2,"697,910",
1877,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",Nominated for 2 Oscars. Another 12 wins & 65 nominations.,"$368,049,635","USA, France, Japan",10 Dec 2013,"Pierre Coffin, Chris Renaud",,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","English, Ukrainian",62,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",https://m.media-amazon.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",03 Jul 2013,True,98 min,Despicable Me 2,movie,http://www.despicableme.com/,"Cinco Paul, Ken Daurio",2013,tt1690953,7.4,"346,410",
1878,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",Nominated for 3 Oscars. Another 16 wins & 86 nominations.,"$180,443,783","USA, New Zealand",08 Apr 2014,Peter Jackson,,"Adventure, Fantasy",English,66,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",https://m.media-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,Warner Bros.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",13 Dec 2013,True,161 min,The Hobbit: The Desolation of Smaug,movie,http://www.thehobbit.com/index.html,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)",2013,tt1170358,7.8,"567,718",
1879,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",Nominated for 1 Golden Globe. Another 22 wins & 66 nominations.,"$336,663,349",USA,07 Mar 2014,Francis Lawrence,,"Action, Adventure, Sci-Fi, Thriller",English,76,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX300.jpg,Lionsgate Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",22 Nov 2013,True,146 min,The Hunger Games: Catching Fire,movie,http://www.thehungergamesexplorer.com/us/,"Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)",2013,tt1951264,7.5,"577,579",
1880,"Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",9 wins & 21 nominations.,"$238,700,000","USA, Japan, Spain, UK",10 Dec 2013,Justin Lin,,"Action, Adventure, Thriller","English, Spanish, Russian, Japanese, Cantonese, Dutch",61,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",https://m.media-amazon.com/images/M/MV5BMTM3NTg2NDQzOF5BMl5BanBnXkFtZTcwNjc2NzQzOQ@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",24 May 2013,True,130 min,Fast & Furious 6,movie,http://www.thefastandthefurious.com/,"Chris Morgan, Gary Scott Thompson (characters)",2013,tt1905041,7.1,"348,598",
1881,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",Nominated for 1 BAFTA Film Award. Another 9 wins & 56 nominations.,"$260,300,000",USA,29 Oct 2013,Dan Scanlon,,"Animation, Adventure, Comedy, Family, Fantasy",English,65,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,Walt Disney Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",21 Jun 2013,True,104 min,Monsters University,movie,http://www.disney.com/MonstersUniversity,"Dan Scanlon (story by), Daniel Gerson (story by), Robert L. Baird (story by), Daniel Gerson (screenplay by), Robert L. Baird (screenplay by), Dan Scanlon (screenplay by), Adrian Molina (additional screenplay material by)",2013,tt1453405,7.3,"294,717",
1882,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Won 7 Oscars. Another 232 wins & 175 nominations.,"$274,084,951","UK, USA",25 Feb 2014,Alfonso Cuarón,,"Drama, Sci-Fi, Thriller","English, Greenlandic",96,Two astronauts work together to survive after an accident leaves them stranded in space.,https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",04 Oct 2013,True,91 min,Gravity,movie,http://gravitymovie.warnerbros.com/,"Alfonso Cuarón, Jonás Cuarón",2013,tt1454468,7.7,"716,192",
1883,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",7 wins & 46 nominations.,"$291,021,565","USA, UK",12 Nov 2013,Zack Snyder,,"Action, Adventure, Sci-Fi",English,55,"Clark Kent is an alien who as a child was evacuated from his dying world and came to Earth, living as a normal human. But when survivors of his alien home invade Earth, he must reveal himself to the world.",https://m.media-amazon.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",14 Jun 2013,True,143 min,Man of Steel,movie,http://manofsteel.warnerbros.com,"David S. Goyer (screenplay), David S. Goyer (story), Christopher Nolan (story), Jerry Siegel (Superman created by), Joe Shuster (Superman created by)",2013,tt0770828,7.1,"651,359",
1884,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",3 wins & 21 nominations.,"$206,360,018","USA, UK, Ireland",25 Feb 2014,Alan Taylor,,"Action, Adventure, Fantasy",English,54,"When Dr. Jane Foster (Natalie Portman) gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",https://m.media-amazon.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",08 Nov 2013,True,112 min,Thor: The Dark World,movie,http://www.facebook.com/ThorMovie,"Christopher L. Yost (screenplay by), Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Don Payne (story by), Robert Rodat (story by), Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Walter Simonson (character created by: Malekith)",2013,tt1981115,6.9,"544,769",
1885,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener",Nominated for 1 Oscar. Another 5 wins & 44 nominations.,"$187,165,546",USA,01 Oct 2013,"Kirk DeMicco, Chris Sanders",,"Animation, Action, Adventure, Comedy, Family, Fantasy",English,55,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",https://m.media-amazon.com/images/M/MV5BMTcyOTc2OTA1Ml5BMl5BanBnXkFtZTcwOTI1MjkzOQ@@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",22 Mar 2013,True,98 min,The Croods,movie,http://www.thecroodsmovie.com/,"Chris Sanders (screenplay), Kirk DeMicco (screenplay), John Cleese (story), Kirk DeMicco (story), Chris Sanders (story)",2013,tt0481499,7.2,"177,671",
